Name,#,Created time,Difficult,Last edited time,Priority,Status,Tags,link,practicedTimes,related,source
Trapping Rain Water,42,"August 31, 2022 12:58 PM",Hard,"October 28, 2023 12:56 PM",Medium,,"2pt_DiffDir, Array, DP, Prefix, monotonic, stack",https://leetcode.com/problems/trapping-rain-water/,1,Largest Rectangle in Histogram (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Largest%20Rectangle%20in%20Histogram%20ac2ea76b0a0645e1b28ad0283e4f7fee.csv),"HuaHua, LC_Top_Interview_150, jiuzhang, 算高Heap&Stack"
Sliding Window Median,480,"September 1, 2022 10:24 PM",Hard,"October 28, 2023 1:40 PM",High,More Solution,"2pt_SameDir_sameSpeed, BS_todo, OrderSet",https://leetcode.com/problems/sliding-window-median/,1,,"HuaHua, jiuzhang, 算高Heap&Stack"
Decode String,394,"September 5, 2022 11:11 PM",Medium,"November 23, 2023 2:42 AM",High,More Solution,"recursion, stack",https://leetcode.com/problems/decode-string/,1,,"HuaHua, LC_75, jiuzhang, 算高Heap&Stack"
Maximum Binary Tree,654,"September 6, 2022 7:26 PM",Medium,"October 28, 2023 2:35 PM",High,,"Divide and Conquer, Tree, monotonic, stack",https://leetcode.com/problems/maximum-binary-tree/,1,,"HuaHua, jiuzhang, 算高Heap&Stack"
[lint] Number of Airplanes in the Sky,391,"September 9, 2022 10:49 AM",Medium,"October 28, 2023 5:19 PM",Pass,,"Hash, Sort, Sweep-Line",https://www.lintcode.com/problem/391/,1,,"HuaHua, jiuzhang, 算高BS&SwipeLine"
Maximal Square,221,"September 9, 2022 1:03 PM",Medium,"October 29, 2023 10:49 PM",Low,,"DP, Matrix",https://leetcode.com/problems/maximal-square/,1,Count Square Submatrices with All Ones (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Count%20Square%20Submatrices%20with%20All%20Ones%20aa7200c93ebe4986a015d6d4d2faf891.csv),"HuaHua, LC_Top_Interview_150, jiuzhang, 算高DP上"
Longest Continuous Increasing Subsequence,674,"September 10, 2022 10:18 AM",Easy,"October 29, 2023 10:30 PM",Pass,,Array,https://leetcode.com/problems/longest-continuous-increasing-subsequence/,1,,"HuaHua, jiuzhang, 算高DP上"
Scramble String,87,"September 14, 2022 4:24 PM",Hard,"October 12, 2023 2:56 PM",Low,More Solution,"DFS, DP, string",https://leetcode.com/problems/scramble-string/,,,"HuaHua, jiuzhang, 算高DP下"
Maximum Length of Repeated Subarray,718,"September 15, 2022 8:22 PM",Medium,"October 29, 2023 10:49 PM",Pass,dup,"DP, StringMatchToMatrix",https://leetcode.com/problems/maximum-length-of-repeated-subarray/,1,,"HuaHua, jiuzhang, 算高DP下"
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,121,"September 25, 2022 5:29 PM",Easy,"October 12, 2023 2:56 PM",Pass,More Solution,"Array, Greedy, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,,Best Time to Buy and Sell Stock with Cooldown (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Best%20Time%20to%20Buy%20and%20Sell%20Stock%20with%20Cooldown%206716c813adef4c9fbb1a26a5bef0a198.csv),"HuaHua, LC_Top_Interview_150"
Best Time to Buy and Sell Stock II,122,"September 25, 2022 5:35 PM",Medium,"October 12, 2023 2:56 PM",Pass,,"Array, DP, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,,,"HuaHua, LC_Top_Interview_150"
Race Car,818,"September 30, 2022 11:55 PM",Hard,"October 12, 2023 2:56 PM",Medium,More Solution,"BFS, DP, search",https://leetcode.com/problems/race-car/,,,"HuaHua, googleFreq"
Maximum Number of Visible Points,1610,"October 3, 2022 11:44 PM",Hard,"October 12, 2023 2:56 PM",Low,,"2pt_SameDir_maxWin_chkValidAftR, Geometry, Math, Sliding Window, circle",https://leetcode.com/problems/maximum-number-of-visible-points/,,,"HuaHua, googleFreq"
Merge Intervals,56,"October 4, 2022 12:22 PM",Medium,"November 17, 2023 1:30 AM",Pass,,"Array, Geometry, Interval, Sort",https://leetcode.com/problems/merge-intervals/,1,Employee Free Time (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Employee%20Free%20Time%20ba5fc06f044341e7a68667cb6f414528.csv),"AmazonFreq, HuaHua, LC_Top_Interview_150, googleFreq, ticktokFreq"
Range Module,715,"October 6, 2022 12:46 AM",Hard,"October 12, 2023 2:56 PM",High,"Dig More, More Solution, No Idea At First, toSummarize","BS_lower_upper_bound, Hash, OrderMap, SegmentTree_idx",https://leetcode.com/problems/range-module/,,,"HuaHua, googleFreq"
Insert Interval,57,"October 6, 2022 1:28 AM",Medium,"October 12, 2023 2:56 PM",High,"Dig More, toSummarize","Array, BS_lower_upper_bound, Geometry, Interval",https://leetcode.com/problems/insert-interval/,,,"HuaHua, LC_Top_Interview_150, googleFreq"
Swim in Rising Water,778,"October 6, 2022 1:23 PM",Hard,"October 12, 2023 2:56 PM",Medium,"More Solution, toSummarize","BFS, BS_todo, Graph, PQ",https://leetcode.com/problems/swim-in-rising-water/,,,"HuaHua, googleFreq"
Student Attendance Record I,551,"October 6, 2022 1:39 PM",Easy,"October 12, 2023 2:56 PM",Low,,string,https://leetcode.com/problems/student-attendance-record-i/,,,"HuaHua, googleFreq"
Longest Increasing Path in a Matrix,329,"October 6, 2022 8:45 PM",Hard,"October 12, 2023 2:56 PM",Low,More Solution,"DFS, DP, Graph, Matrix, search",https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,,,"HuaHua, googleFreq"
Find Servers That Handled Most Number of Requests,1606,"October 8, 2022 9:50 PM",Hard,"October 12, 2023 2:56 PM",High,"Dig More, HardToImplement, More Solution, No Idea At First","OrderSet, PQ",https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests/,,,"HuaHua, googleFreq"
Decode Ways,91,"October 10, 2022 9:02 PM",Medium,"October 12, 2023 2:56 PM",Low,,"Bottom_Up, DP",https://leetcode.com/problems/decode-ways/,,,"HuaHua, googleFreq"
Roman to Integer,13,"October 12, 2022 1:13 PM",Easy,"November 2, 2023 5:55 PM",Pass,,"Hash, Math, string",https://leetcode.com/problems/roman-to-integer/,1,,"HuaHua, LC_Top_Interview_150, googleFreq"
Find All Anagrams in a String,438,"October 16, 2022 6:17 PM",Medium,"October 12, 2023 2:56 PM",Medium,,"2pt_SameDir_sameSpeed, Hash, Sliding Window",https://leetcode.com/problems/find-all-anagrams-in-a-string/,,,"HuaHua, googleFreq"
Vertical Order Traversal of a Binary Tree,987,"October 22, 2022 11:41 PM",Hard,"October 12, 2023 2:56 PM",High,HardToImplement,"BFS, DFS, Hash, Tree",https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,,,"HuaHua, googleFreq"
Letter Combinations of a Phone Number,17,"October 23, 2022 11:02 AM",Medium,"October 12, 2023 2:56 PM",Low,,"BackTracking, search",https://leetcode.com/problems/letter-combinations-of-a-phone-number/,,,"HuaHua, LC_75, LC_Top_Interview_150, googleFreq, leetcode_daily"
My Calendar I,729,"October 24, 2022 1:40 AM",Medium,"October 12, 2023 2:56 PM",Medium,,"BS_lower_upper_bound, Geometry, OrderMap",https://leetcode.com/problems/my-calendar-i/,,,"HuaHua, googleFreq"
Sum of Prefix Scores of Strings,2416,"October 30, 2022 3:52 PM",Hard,"October 12, 2023 2:56 PM",Medium,In Progress,"Trie, string",https://leetcode.com/problems/sum-of-prefix-scores-of-strings/,,,"HuaHua, googleFreq"
Maximum Sum Circular Subarray,918,"May 11, 2023 5:23 PM",Medium,"November 1, 2023 8:19 PM",Medium,,"Contribution>0, DP, Kadane, Prefix",https://leetcode.com/problems/maximum-sum-circular-subarray/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高FollowUp"
Sort an Array,912,"May 11, 2023 10:53 PM",Medium,"October 12, 2023 2:56 PM",Pass,,"Divide and Conquer, MergeSort, quickSort",https://leetcode.com/problems/sort-an-array/,,,"HuaHua, leetcode_daily"
Container With Most Water,11,"May 12, 2023 2:18 AM",Medium,"October 12, 2023 2:56 PM",High,"No Idea At First, toSummarize","2pt, Array, Greedy",https://leetcode.com/problems/container-with-most-water/,,,"HuaHua, LC_75, LC_Top_Interview_150, wisdompeak"
3Sum With Multiplicity,923,"May 12, 2023 2:43 AM",Medium,"October 12, 2023 2:56 PM",Low,More Solution,"2pt, Array, Counting, Hash, Math, Sort",https://leetcode.com/problems/3sum-with-multiplicity/,,,"HuaHua, wisdompeak"
Top K Frequent Elements,347,"May 22, 2023 11:59 AM",Medium,"October 12, 2023 2:56 PM",Low,More Solution,"Hash, PQ, QuickSelect, TopK",https://leetcode.com/problems/top-k-frequent-words/,,,"HuaHua, leetcode_daily"
Shortest Bridge,934,"May 23, 2023 4:25 PM",Medium,"October 12, 2023 2:56 PM",Low,,"BFS, Matrix",https://leetcode.com/problems/shortest-bridge/,,,"HuaHua, leetcode_daily"
Print Binary Tree,655,"May 24, 2023 2:05 AM",Medium,"October 12, 2023 2:56 PM",Low,,"BFS, DFS, Divide and Conquer, Tree",https://leetcode.com/problems/print-binary-tree/,,,"HuaHua, leetcode_daily"
Majority Element,169,"May 30, 2023 2:06 PM",Easy,"October 12, 2023 2:56 PM",High,No Idea At First,"Array, Bit Manipulation, Divide and Conquer, Hash",https://leetcode.com/problems/majority-element/,,,"HuaHua, LC_Top_Interview_150"
Insert Delete GetRandom O(1),380,"May 30, 2023 9:38 PM",Medium,"October 12, 2023 2:56 PM",Medium,,"Array, Design, Hash, Probability, Random",https://leetcode.com/problems/insert-delete-getrandom-o1/,,,"HuaHua, LC_Top_Interview_150"
Game of Life,289,"June 2, 2023 10:15 PM",Medium,"October 12, 2023 2:56 PM",Pass,,"BitMask, Matrix, simulation",https://leetcode.com/problems/game-of-life/,,,"HuaHua, LC_Top_Interview_150"
Minimum Number of Arrows to Burst Balloons,452,"June 3, 2023 9:43 PM",Medium,"October 12, 2023 2:56 PM",High,No Idea At First,"Array, Geometry, Greedy, Interval, Sort",https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,,,"HuaHua, LC_75, LC_Top_Interview_150"
Evaluate Reverse Polish Notation,150,"June 4, 2023 1:37 PM",Medium,"October 12, 2023 2:56 PM",Pass,,"simulation, stack",https://leetcode.com/problems/evaluate-reverse-polish-notation/,,,"HuaHua, LC_Top_Interview_150"
Add Two Numbers,2,"June 4, 2023 11:44 PM",Medium,"October 12, 2023 2:56 PM",Low,,"LinkedList, Math, simulation",https://leetcode.com/problems/add-two-numbers/,,,"HuaHua, LC_Top_Interview_150"
Sum Root to Leaf Numbers,129,"June 4, 2023 11:59 PM",Medium,"November 2, 2023 10:42 PM",Pass,,"DFS, Tree",https://leetcode.com/problems/sum-root-to-leaf-numbers/,1,,"HuaHua, LC_Top_Interview_150"
Unique Paths II,63,"June 5, 2023 12:04 AM",Medium,"November 2, 2023 5:51 PM",Pass,,"DP, Matrix",https://leetcode.com/problems/unique-paths-ii/,1,,"HuaHua, LC_Top_Interview_150"
Coin Change,322,"June 5, 2023 12:23 AM",Medium,"October 12, 2023 2:56 PM",Medium,More Solution,"BFS, dp-backpack, search",https://leetcode.com/problems/coin-change/,,,"HuaHua, LC_Top_Interview_150"
Reverse Bits,190,"June 5, 2023 12:39 AM",Easy,"October 12, 2023 2:56 PM",Low,More Solution,"Bit Manipulation, Divide and Conquer",https://leetcode.com/problems/reverse-bits/,,,"HuaHua, LC_Top_Interview_150"
Minimum Absolute Difference in BST,530,"June 5, 2023 1:11 AM",Easy,"October 12, 2023 2:56 PM",Pass,,Tree,https://leetcode.com/problems/minimum-absolute-difference-in-bst/,,,"HuaHua, LC_Top_Interview_150"
Average of Levels in Binary Tree,637,"June 5, 2023 1:15 AM",Easy,"November 3, 2023 7:15 PM",Pass,,"BFS, Tree",https://leetcode.com/problems/average-of-levels-in-binary-tree/,InProgress,,"HuaHua, LC_Top_Interview_150"
Count Complete Tree Nodes,222,"June 5, 2023 4:39 PM",Medium,"October 12, 2023 2:56 PM",Medium,More Solution,"BS_todo, DFS, Tree",https://leetcode.com/problems/count-complete-tree-nodes/,,,"HuaHua, LC_Top_Interview_150"
Evaluate Division,399,"June 5, 2023 11:02 PM",Medium,"October 12, 2023 2:56 PM",High,"HardToImplement, More Solution","BFS, DFS, Graph, Union Find",https://leetcode.com/problems/evaluate-division/,,Check for Contradictions in Equations (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Check%20for%20Contradictions%20in%20Equations%20fa47b084504e4afa88e6d2439526bc2c.csv),"HuaHua, LC_75, LC_Top_Interview_150"
Symmetric Tree,101,"June 6, 2023 7:51 PM",Easy,"October 12, 2023 2:56 PM",Pass,,Tree,https://leetcode.com/problems/symmetric-tree/,,,"HuaHua, LC_Top_Interview_150"
Path Sum,112,"June 6, 2023 7:54 PM",Easy,"October 12, 2023 2:56 PM",Pass,,Tree,https://leetcode.com/problems/path-sum/,,,"HuaHua, LC_Top_Interview_150"
Search Insert Position,35,"June 6, 2023 10:56 PM",Easy,"October 12, 2023 2:56 PM",Pass,,BS_Idx,https://leetcode.com/problems/search-insert-position/,,,"HuaHua, LC_Top_Interview_150"
Convert Sorted Array to Binary Search Tree,108,"June 6, 2023 10:58 PM",Easy,"October 12, 2023 2:56 PM",Pass,,"Divide and Conquer, Tree",https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,,,"HuaHua, LC_Top_Interview_150"
Longest Palindromic Substring,5,"June 6, 2023 11:52 PM",Medium,"November 17, 2023 1:31 AM",High,"Dig More, In Progress, No Idea At First","DP, Manacher, string",https://leetcode.com/problems/longest-palindromic-substring/,1,"Longest Palindromic Subsequence (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Longest%20Palindromic%20Subsequence%2084aa3d867a9e4aca9510bdf16a0cbf4c.csv), Valid Palindrome III (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Valid%20Palindrome%20III%20517a78a10eeb4597af212af8b9e8f366.csv), Minimum Insertion Steps to Make a String Palindrome (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Minimum%20Insertion%20Steps%20to%20Make%20a%20String%20Palindrom%209bb48427b933450ca691a199ed559c53.csv)","HuaHua, LC_Top_Interview_150, ticktokFreq"
Find First and Last Position of Element in Sorted Array,34,"June 7, 2023 12:24 AM",Medium,"October 12, 2023 2:56 PM",Pass,,BS_Idx,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,,,"HuaHua, LC_Top_Interview_150"
Course Schedule II,210,"June 7, 2023 3:39 AM",Medium,"November 17, 2023 1:31 AM",Low,,"Graph, TopSorting",https://leetcode.com/problems/course-schedule-ii/,1,,"HuaHua, LC_Top_Interview_150, ticktokFreq"
Word Break,139,"June 7, 2023 12:57 PM",Medium,"October 12, 2023 2:56 PM",Medium,HardToImplement,"Hash, Trie, dp-TimeSeqFromLastX, string",https://leetcode.com/problems/word-break/,,,"HuaHua, LC_Top_Interview_150"
Max Points on a Line,149,"June 7, 2023 1:37 PM",Hard,"October 12, 2023 2:56 PM",High,No Idea At First,"Geometry, Hash, Math",https://leetcode.com/problems/max-points-on-a-line/,,,"HuaHua, LC_Top_Interview_150"
Word Search,79,"June 7, 2023 2:07 PM",Medium,"November 17, 2023 1:31 AM",Medium,HardToImplement,"BackTracking, DFS, Matrix, search",https://leetcode.com/problems/word-search/,1,,"HuaHua, LC_Top_Interview_150, ticktokFreq"
Find Smallest Letter Greater Than Target,744,"June 8, 2023 9:27 PM",Easy,"October 12, 2023 2:56 PM",Pass,,BS_Idx,https://leetcode.com/problems/find-smallest-letter-greater-than-target/,,,"HuaHua, leetcode_daily"
Subarrays with K different Integers,992,"June 14, 2023 6:21 PM",Hard,"October 12, 2023 2:56 PM",Medium,HardToImplement,"Array, Hash, Sliding Window",https://leetcode.com/problems/subarrays-with-k-different-integers/description/,,[lint] Subarray Sum II (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/%5Blint%5D%20Subarray%20Sum%20II%20836d41ad6f404dca85726a0a0802019e.csv),"HuaHua, wisdompeak"
Number of Sets of K Non-Overlapping Line Segments,1621,"June 15, 2023 4:51 PM",Medium,"October 12, 2023 2:56 PM",High,"Dig More, In Progress, No Idea At First",DP,https://leetcode.com/problems/number-of-sets-of-k-non-overlapping-line-segments/,,,"HuaHua, leetcode_daily"
Bitwise ORs of Subarrays,898,"June 15, 2023 6:42 PM",Medium,"October 12, 2023 2:56 PM",High,No Idea At First,"Bit Manipulation, DP, Hash",https://leetcode.com/problems/bitwise-ors-of-subarrays/,,,"HuaHua, leetcode_daily"
Make Array Strictly Increasing,1187,"June 17, 2023 6:01 PM",Hard,"October 12, 2023 2:56 PM",High,"HardToImplement, More Solution","Array, BS_lower_upper_bound, Sort, dp-TimeSeqFromLastOne-Power",https://leetcode.com/problems/make-array-strictly-increasing/,,,"HuaHua, leetcode_daily"
Can I Win,464,"June 19, 2023 10:00 AM",Medium,"October 12, 2023 2:56 PM",High,"No Idea At First, toSummarize","Bit Manipulation, BitMask, DP, Game, Math, recursion",https://leetcode.com/problems/can-i-win/description/,,,"HuaHua, leetcode_daily"
Parsing A Boolean Expression,1106,"June 20, 2023 8:54 PM",Hard,"October 12, 2023 2:56 PM",Medium,,"recursion, stack, string",https://leetcode.com/problems/parsing-a-boolean-expression/,,,HuaHua
Score of Parentheses,856,"June 20, 2023 8:55 PM",Medium,"October 12, 2023 2:56 PM",High,HardToImplement,"recursion, stack, string",https://leetcode.com/problems/score-of-parentheses/,,,HuaHua
Letter Case Permutation,784,"June 20, 2023 8:55 PM",Medium,"October 12, 2023 2:56 PM",High,HardToImplement,"BackTracking, Bit Manipulation, recursion, string",https://leetcode.com/problems/letter-case-permutation/,,,HuaHua
Parse Lisp Expression,736,"June 20, 2023 8:56 PM",Hard,"October 17, 2023 6:24 PM",High,"HardToImplement, More Solution, checkBetterSolution, toRevisit, toSummarize","Hash, recursion, stack, string",https://leetcode.com/problems/parse-lisp-expression/,,,HuaHua
Number of Atoms,726,"June 20, 2023 8:57 PM",Hard,"October 17, 2023 6:24 PM",High,"HardToImplement, checkBetterSolution, toRevisit, toSummarize","Hash, OrderMap, Sort, recursion, stack, string",https://leetcode.com/problems/number-of-atoms/,,,HuaHua
Best Time to Buy and Sell Stock with Transaction Fee,714,"June 21, 2023 6:16 PM",Medium,"October 12, 2023 2:56 PM",High,No Idea At First,"Array, DP, Greedy, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/description/,,,"HuaHua, LC_75, leetcode_daily"
Balance a Binary Search Tree,1382,"June 21, 2023 8:20 PM",Medium,"October 12, 2023 2:56 PM",Pass,,"DFS, Divide and Conquer, Greedy, Tree",https://leetcode.com/problems/balance-a-binary-search-tree/,,,HuaHua
Global and Local Inversions,775,"June 21, 2023 8:21 PM",Medium,"October 17, 2023 6:24 PM",Medium,"More Solution, dup, toRevisit","Array, Divide and Conquer, Math, MergeSort",https://leetcode.com/problems/global-and-local-inversions/,,,HuaHua
Find Minimum in Rotated Sorted Array II,154,"June 21, 2023 8:22 PM",Hard,"October 12, 2023 2:56 PM",Medium,,"BS_Idx, Divide and Conquer",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/,,"Search in Rotated Sorted Array II (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Search%20in%20Rotated%20Sorted%20Array%20II%20ae08e4997fd34f45ba011801b80c0402.csv), Find Minimum in Rotated Sorted Array (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Find%20Minimum%20in%20Rotated%20Sorted%20Array%20b7069c3a155d4e638a6a3dc2f45319e7.csv)",HuaHua
Final Prices With a Special Discount in a Shop,1475,"June 22, 2023 2:29 AM",Easy,"October 12, 2023 2:56 PM",High,"No Idea At First, toSummarize","Array, monotonic, stack",https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop/description/,,,HuaHua
Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,1438,"June 23, 2023 4:35 PM",Medium,"October 12, 2023 2:56 PM",High,"Dig More, More Solution","2pt_SameDir_maxWin_chkValidAftR, Array, Heap, OrderSet, deque, monotonic",https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/description/,,,HuaHua
Max Value of Equation,1499,"June 23, 2023 4:36 PM",Hard,"October 12, 2023 2:56 PM",High,"Dig More, HardToImplement, No Idea At First, toSummarize","Array, Heap, PQ, Sliding Window, deque, monotonic",https://leetcode.com/problems/max-value-of-equation/,,,HuaHua
Check If String Is Transformable With Substring Sort Operations,1585,"June 23, 2023 4:36 PM",Hard,"October 12, 2023 2:56 PM",High,No Idea At First,"Greedy, Sort, queue, string",https://leetcode.com/problems/check-if-string-is-transformable-with-substring-sort-operations/,,Determine if Two Strings Are Close (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Determine%20if%20Two%20Strings%20Are%20Close%204fa6319cd49f40d9bfd54c2e8ea4450f.csv),HuaHua
Minimum Number of Refueling Stops,871,"June 25, 2023 4:25 PM",Hard,"October 12, 2023 2:56 PM",High,"HardToImplement, More Solution","Array, DP, Greedy, PQ",https://leetcode.com/problems/minimum-number-of-refueling-stops/,,,HuaHua
Construct Target Array With Multiple Sums,1354,"June 25, 2023 4:26 PM",Hard,"October 12, 2023 2:56 PM",High,"Dig More, HardToImplement, No Idea At First","Math, PQ, simulation",https://leetcode.com/problems/construct-target-array-with-multiple-sums/,,,HuaHua
Range Sum of Sorted Subarray Sums,1508,"June 25, 2023 4:26 PM",Medium,"October 12, 2023 2:56 PM",Low,"More Solution, checkBetterSolution","2pt, BS_todo, PQ, Prefix",https://leetcode.com/problems/range-sum-of-sorted-subarray-sums/,,,HuaHua
Furthest Building You Can Reach,1642,"June 25, 2023 4:27 PM",Medium,"October 12, 2023 2:56 PM",High,No Idea At First,"Array, BS_todo, Greedy, PQ",https://leetcode.com/problems/furthest-building-you-can-reach/,,,HuaHua
Minimize Deviation in Array,1675,"June 25, 2023 4:27 PM",Hard,"October 12, 2023 2:56 PM",High,"Dig More, More Solution, No Idea At First","Array, Greedy, OrderSet, PQ",https://leetcode.com/problems/minimize-deviation-in-array/,,,HuaHua
Maximum Average Pass Ratio,1792,"June 25, 2023 4:27 PM",Medium,"October 12, 2023 2:56 PM",High,No Idea At First,"Array, Greedy, PQ",https://leetcode.com/problems/maximum-average-pass-ratio/,,,HuaHua
Substring XOR Queries,2564,"June 27, 2023 9:18 PM",Medium,"October 12, 2023 2:56 PM",,new,"Bit Manipulation, Hash, string",,,,HuaHua
Largest Positive Integer That Exists With Its Negative,2441,"June 27, 2023 9:19 PM",Easy,"October 12, 2023 2:56 PM",Low,More Solution,"2pt, Array, Hash, Sort",https://leetcode.com/problems/largest-positive-integer-that-exists-with-its-negative/,,,HuaHua
Find Longest Awesome Substring,1542,"June 27, 2023 9:20 PM",Hard,"October 12, 2023 2:56 PM",,new,"Hash, string",,,,HuaHua
Avoid Flood in The City,1488,"June 27, 2023 9:21 PM",Medium,"October 12, 2023 2:56 PM",,new,Hash,,,,HuaHua
Find Two Non-overlapping Sub-arrays Each With Target Sum,1477,"June 27, 2023 9:21 PM",Medium,"October 12, 2023 2:56 PM",,new,Hash,,,,HuaHua
Count Triplets That Can Form Two Arrays of Equal XOR,1442,"June 27, 2023 9:21 PM",Medium,"October 12, 2023 2:56 PM",,new,"Bit Manipulation, Hash",,,,HuaHua
Diagonal Traverse II,1424,"June 27, 2023 9:22 PM",Medium,"November 21, 2023 5:03 PM",Medium,"HardToImplement, More Solution","Array, PQ, Sort, matrix-diagTraverse",https://leetcode.com/problems/diagonal-traverse-ii/,,,"HuaHua, leetcode_daily"
Find the Longest Substring Containing Vowels in Even Counts,1371,"June 27, 2023 9:22 PM",Medium,"October 12, 2023 2:56 PM",,new,Hash,,,,HuaHua
Divide Array in Sets of K Consecutive Numbers,1296,"June 27, 2023 9:23 PM",Medium,"October 12, 2023 2:56 PM",,new,"Hash, Tree",,,,HuaHua
Longest Arithmetic Subsequence of Given Difference,1218,"June 27, 2023 9:24 PM",Medium,"October 12, 2023 2:56 PM",High,No Idea At First,"DP, Hash",https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference,,,"HuaHua, leetcode_daily"
Number of Valid Words for Each Puzzle,1178,"June 27, 2023 9:24 PM",Hard,"October 12, 2023 2:56 PM",,new,"Bit Manipulation, Hash, string",,,,HuaHua
Longest Well-Performing Interval,1124,"June 27, 2023 9:25 PM",Medium,"October 12, 2023 2:56 PM",,new,Hash,,,,HuaHua
Length of Longest Fibonacci Subsequence,873,"June 27, 2023 9:26 PM",Medium,"October 12, 2023 2:56 PM",,new,"DP, Hash",,,,HuaHua
Contiguous Array,525,"June 27, 2023 9:26 PM",Medium,"December 8, 2023 6:28 PM",High,No Idea At First,"Array, Hash, Prefix",https://leetcode.com/problems/contiguous-array/description/,,,"HuaHua, facebookFreq"
Permutation in String,567,"June 27, 2023 9:27 PM",Medium,"December 22, 2023 1:52 PM",Low,,"2pt_SameDir_sameSpeed, Hash, Sliding Window, string",https://leetcode.com/problems/permutation-in-string/description/,,,"HuaHua, googleFreq"
All O`one Data Structure,432,"June 27, 2023 9:28 PM",Hard,"October 21, 2023 1:09 PM",High,"HardToImplement, checkBetterSolution, toRevisit, toSummarize","Design, Hash, LinkedList",https://leetcode.com/problems/all-oone-data-structure/description/,,LFU Cache (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/LFU%20Cache%20653efcca4f3848b7b71f50e37e74a8d8.csv),HuaHua
Subarray Sum Equals K,560,"June 27, 2023 9:28 PM",Medium,"November 20, 2023 3:33 AM",Low,checkBetterSolution,"Hash, Prefix",https://leetcode.com/problems/subarray-sum-equals-k/,,,"HuaHua, appleFreq"
Number of Matching Subsequences,792,"June 27, 2023 9:28 PM",Medium,"December 24, 2023 12:06 AM",High,"CalcuComplexity, Dig More, More Solution, No Idea At First","Array, BS_todo, DP, Hash, Sort, Trie, string",https://leetcode.com/problems/number-of-matching-subsequences/description/,,,"HuaHua, googleFreq"
Partition Labels,763,"June 27, 2023 9:29 PM",Medium,"December 3, 2023 7:34 PM",Medium,"More Solution, toRevisit","2pt, Greedy, Hash, Interval, string",https://leetcode.com/problems/partition-labels/description/,,,HuaHua
Shortest Completing Word,748,"June 27, 2023 9:29 PM",Easy,"October 12, 2023 2:56 PM",,new,"Hash, string",,,,HuaHua
Prefix and Suffix Search,745,"June 27, 2023 9:29 PM",Hard,"October 12, 2023 2:56 PM",High,"CalcuComplexity, Dig More, More Solution, No Idea At First, toSummarize","Design, Hash, Trie, string",https://leetcode.com/problems/prefix-and-suffix-search/description/,,,HuaHua
Sentence Similarity,734,"June 27, 2023 9:30 PM",Easy,"October 12, 2023 2:56 PM",,new,Hash,,,,HuaHua
Longest Word in Dictionary,720,"June 27, 2023 9:30 PM",Easy,"October 12, 2023 2:56 PM",Medium,More Solution,"Array, Hash, Sort, Trie, string",https://leetcode.com/problems/longest-word-in-dictionary/,,,HuaHua
Word Ladder II,126,"June 27, 2023 9:32 PM",Hard,"October 12, 2023 2:56 PM",High,HardToImplement,"BFS, BackTracking, DFS, Graph, Hash, string",https://leetcode.com/problems/word-ladder-ii/description/,,,HuaHua
Longest Palindrome,409,"June 27, 2023 9:32 PM",,"October 12, 2023 2:56 PM",,new,"Greedy, Hash, string",,,,HuaHua
Map Sum Pairs,677,"June 27, 2023 9:33 PM",Medium,"October 12, 2023 2:56 PM",High,HardToImplement,"Design, Hash, Trie, string",https://leetcode.com/problems/map-sum-pairs/,,,HuaHua
Insert Delete GetRandom,381,"June 27, 2023 9:33 PM",,"October 12, 2023 2:56 PM",,new,"Design, Hash",,,,HuaHua
