#,Name,Difficult,Priority,Status,Tags,link,source,practicedTimes
22,[lint] Flatten List,Easy,Pass,,stack,https://www.lintcode.com/problem/22/,"jiuzhang, 算高FollowUp",1
23,Merge k Sorted Lists,Hard,Medium,,"Divide and Conquer, LinkedList, MergeSort, PQ",https://leetcode.com/problems/merge-k-sorted-lists/,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初Tree Divide&Conquer",1
25,Reverse Nodes in k-Group,Hard,Low,,"LinkedList, reversePartial",https://leetcode.com/problems/reverse-nodes-in-k-group/,"LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array",1
29,Divide Two Integers,Medium,Low,,"Bit Manipulation, Math",https://leetcode.com/problems/divide-two-integers/,"jiuzhang, 算初BS",
31,[lint] Partition Array,Medium,Low,Dig More,"2pt_DiffDir, Partition",https://www.lintcode.com/problem/31/,"jiuzhang, 算初TwoPointers",1
33,Search in Rotated Sorted Array,Medium,Low,,BS_Idx,https://leetcode.com/problems/search-in-rotated-sorted-array/,"HuaHua, LC_Top_Interview_150, jiuzhang, leetcode_daily, 算初BS",1
38,[lint] Search a 2D Matrix II,Medium,Low,,BS_Idx,https://www.lintcode.com/problem/38/,"jiuzhang, 算初BS",1
39,[lint] Recover Rotated Sorted Array,Easy,Low,,3 Step Rotate,https://www.lintcode.com/problem/recover-rotated-sorted-array,"jiuzhang, 算初BS, 算初TwoPointers",1
39,Combination Sum,Medium,Low,,"BackTracking, Combination, search",https://leetcode.com/problems/combination-sum/,"LC_Top_Interview_150, jiuzhang, 算初DFS",1
40,Combination Sum II,Medium,Low,,"BackTracking, Combination, search",https://leetcode.com/problems/combination-sum-ii/,"jiuzhang, 算初DFS",1
42,Trapping Rain Water,Hard,Medium,,"2pt_DiffDir, Array, DP, Prefix, monotonic, stack",https://leetcode.com/problems/trapping-rain-water/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高Heap&Stack",1
45,Jump Game II,Medium,Medium,More Solution,"Array, DP, GoForth, Greedy, buildFutureResults",https://leetcode.com/problems/jump-game-ii,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初DP",1
46,Permutations,Medium,Low,,"BackTracking, Permutation",https://leetcode.com/problems/permutations/,"LC_Top_Interview_150, jiuzhang, 算初DFS",1
47,Permutations II,Medium,Low,,"BackTracking, Permutation",https://leetcode.com/problems/permutations-ii/,"jiuzhang, 算初DFS",1
49,[lint] Sort Letters by Case,Medium,Pass,,Partition,https://www.lintcode.com/problem/49/,"jiuzhang, 算初TwoPointers",1
49,Group Anagrams,Medium,Medium,,"Anagram, Hash",https://leetcode.com/problems/group-anagrams/,"LC_Top_Interview_150, jiuzhang, 算初Hash&Heap",1
51,N-Queens,Hard,Low,,"BackTracking, Permutation, search",https://leetcode.com/problems/n-queens/,"HuaHua, jiuzhang, 算初DFS",1
53,Maximum Subarray,Medium,Low,,"Array, Contribution>0, DP, Kadane, Prefix",https://leetcode.com/problems/maximum-subarray/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算初LinkedList&Array, 算高FollowUp",1
55,Jump Game,Medium,Medium,More Solution,"Array, DP, GoForth, Greedy, buildFutureResults",https://leetcode.com/problems/jump-game/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP",1
56,Merge Intervals,Medium,Pass,,"Array, Geometry, Interval, Sort",https://leetcode.com/problems/merge-intervals/,"AmazonFreq, HuaHua, LC_Top_Interview_150, googleFreq, ticktokFreq",1
57,Insert Interval,Medium,High,"Dig More, toSummarize","Array, BS_lower_upper_bound, Geometry, Interval",https://leetcode.com/problems/insert-interval/,"HuaHua, LC_Top_Interview_150, googleFreq",
61,[lint] Search for a Range,Medium,Pass,,BS_Idx,https://www.lintcode.com/problem/61/,"jiuzhang, 算初BS",1
61,Rotate List,Medium,Low,,LinkedList,https://leetcode.com/problems/rotate-list/description/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array",1
62,Unique Paths,Medium,Pass,,"DP, GoForth, Matrix",https://leetcode.com/problems/unique-paths,"HuaHua, LC_75, jiuzhang, 算初DP, 算高DP上",1
64,Minimum Path Sum,Medium,Pass,,"DP, GoForth, Matrix",https://leetcode.com/problems/minimum-path-sum/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算高DP上",1
68,Text Justification,Hard,Medium,checkBetterSolution,string,https://leetcode.com/problems/text-justification/,LC_Top_Interview_150,
69,Sqrt(x),Easy,Low,,"BS_Idx, Math",https://leetcode.com/problems/sqrtx/,"LC_Top_Interview_150, jiuzhang, 算高BS&SwipeLine",1
70,Climbing Stairs,Easy,Pass,,"Array, DP, GoForth",https://leetcode.com/problems/climbing-stairs,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算高DP上",1
72,Edit Distance,Hard,High,,"DP, Matrix, StringMatchToMatrix, dp-TwoSeq, string",https://leetcode.com/problems/edit-distance/,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP上, 算高DP下",1
74,Search a 2D Matrix,Medium,Low,,BS_Idx,https://leetcode.com/problems/search-a-2d-matrix/,"LC_Top_Interview_150, jiuzhang, 算初BS",1
75,Sort Colors,Medium,High,No Idea At First,"2pt, 2pt_SameDir_diffSpeed, Sort, swap_put_keep_sequence",https://leetcode.com/problems/sort-colors/,"jiuzhang, wisdompeak, 算初TwoPointers",1
76,Minimum Window Substring,Hard,Medium,,"2pt_SameDir_minWin_chkValidAftR, Sliding Window",https://leetcode.com/problems/minimum-window-substring/,"LC_Top_Interview_150, jiuzhang, 算高TwoPointers&PQ",1
78,Subsets,Medium,Low,More Solution,"BackTracking, BitMask, Combination, search",https://leetcode.com/problems/subsets,"HuaHua, jiuzhang, 算初DFS",1
79,[lint] Longest Common Substring,Medium,Medium,,"DP, StringMatchToMatrix",https://www.lintcode.com/problem/longest-common-substring,"jiuzhang, 算高DP下",1
80,[lint] Median,Easy,Medium,,"QuickSelect, kth",https://www.lintcode.com/problem/80/,"jiuzhang, 算初Tree Divide&Conquer",1
84,Largest Rectangle in Histogram,Hard,High,,"monotonic, stack",https://leetcode.com/problems/largest-rectangle-in-histogram/,"jiuzhang, 算高Heap&Stack",1
85,[lint] Insert Node in a Binary Search Tree,Easy,Low,,"1Path, Tree",https://www.lintcode.com/problem/85/,"jiuzhang, 算初Tree Divide&Conquer",1
85,Maximal Rectangle,Hard,High,More Solution,"DP, Matrix, monotonic, stack",https://leetcode.com/problems/maximal-rectangle/,"jiuzhang, 算高DP上, 算高Heap&Stack",1
86,Partition List,Medium,Low,,LinkedList,https://leetcode.com/problems/partition-list/,"LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array",1
87,Scramble String,Hard,Low,More Solution,"DFS, DP, string",https://leetcode.com/problems/scramble-string/,"HuaHua, jiuzhang, 算高DP下",
88,Merge Sorted Array,Easy,Low,,"2pt, Array, Merge",https://leetcode.com/problems/merge-sorted-array/,"LC_Top_Interview_150, jiuzhang, wisdompeak, 算初LinkedList&Array",1
89,[lint] k Sum,Hard,Medium,,"DP, dp-backpack",https://www.lintcode.com/problem/89/,"jiuzhang, 算高DP下",
90,Subsets II,Medium,Low,,"BackTracking, Combination",https://leetcode.com/problems/subsets-ii/,"jiuzhang, 算初DFS",1
91,[lint] Minimum Adjustment Cost,Medium,Low,,DP,https://www.lintcode.com/problem/minimum-adjustment-cost/,"jiuzhang, 算高DP下",
91,Decode Ways,Medium,Low,,"Bottom_Up, DP",https://leetcode.com/problems/decode-ways/,"HuaHua, googleFreq",
92,Reverse Linked List II,Medium,Low,,"LinkedList, reversePartial",https://leetcode.com/problems/reverse-linked-list-ii/,"LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array",1
92,[lint] Backpack,Medium,Low,,"DP, dp-backpack",https://www.lintcode.com/problem/92/,"jiuzhang, 算高DP下",
94,Binary Tree Inorder Traversal,Easy,Low,,"Iterate, Tree",https://leetcode.com/problems/binary-tree-inorder-traversal/,"HuaHua, jiuzhang, 算初Tree Divide&Conquer",1
97,Interleaving String,Medium,Medium,More Solution,"DP, StringMatchToMatrix, TopSorting, dp-TwoSeq",https://leetcode.com/problems/interleaving-string/,"HuaHua, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP下",1
98,Validate Binary Search Tree,Medium,Low,,"Iterate, Tree",https://leetcode.com/problems/validate-binary-search-tree/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer",1
100,Same Tree,Easy,Pass,,Tree,https://leetcode.com/problems/same-tree,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer",1
102,Binary Tree Level Order Traversal,Medium,Low,,"BFS, Tree, tbfs_preChkNull_wSz",https://leetcode.com/problems/binary-tree-level-order-traversal/,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初BFS, 算初Tree Divide&Conquer",1
103,Binary Tree Zigzag Level Order Traversal,Medium,Pass,,"BFS, Tree",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,"LC_Top_Interview_150, jiuzhang, 算初BFS",1
104,Maximum Depth of Binary Tree,Easy,Pass,,"DFS, Divide and Conquer, Tree, toNull",https://leetcode.com/problems/maximum-depth-of-binary-tree/,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer",1
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,Low,,Tree,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,"LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer",1
107,Binary Tree Level Order Traversal II,Medium,Pass,,"BFS, Tree",https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,"HuaHua, jiuzhang, 算初BFS",1
109,Convert Sorted List to Binary Search Tree,Medium,Medium,,"Divide and Conquer, LinkedList, Tree",https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,"jiuzhang, 算初LinkedList&Array",1
110,Balanced Binary Tree,Easy,Low,,"Divide and Conquer, Tree, toNull",https://leetcode.com/problems/balanced-binary-tree,"HuaHua, jiuzhang, 算初Tree Divide&Conquer",1
111,Minimum Depth of Binary Tree,Easy,Low,,"Divide and Conquer, Tree, toLeaf",https://leetcode.com/problems/minimum-depth-of-binary-tree,"HuaHua, jiuzhang, 算初Tree Divide&Conquer",1
114,Flatten Binary Tree to Linked List,Medium,High,,"Iterate, Tree, changeAffectIteration",https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,"LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer",1
115,Distinct Subsequences,Hard,Medium,,"DP, StringMatchToMatrix, dp-TwoSeq",https://leetcode.com/problems/distinct-subsequences/,"HuaHua, jiuzhang, wp动归套路, 算高DP下",
120,Triangle,Medium,High,,"BFS, Bottom_Up, DP, Triangle",https://leetcode.com/problems/triangle,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP",1
121,[lint] Word Ladder II,Hard,Medium,Next Up,"BFS, DFS",https://www.lintcode.com/problem/121/,"jiuzhang, 算初DFS",1
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,Pass,More Solution,"Array, Greedy, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,"HuaHua, LC_Top_Interview_150",
122,Best Time to Buy and Sell Stock II,Medium,Pass,,"Array, DP, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,"HuaHua, LC_Top_Interview_150",
123,Best Time to Buy and Sell Stock III,Hard,Medium,,"DP, Game, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,"LC_Top_Interview_150, wp动归套路",
124,Binary Tree Maximum Path Sum,Hard,Medium,,"Divide and Conquer, Tree",https://leetcode.com/problems/binary-tree-maximum-path-sum/,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初Tree Divide&Conquer",1
125,Valid Palindrome,Easy,Pass,,2pt_DiffDir,https://leetcode.com/problems/valid-palindrome/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初TwoPointers",1
125,[lint] Backpack II,Medium,Low,,"DP, dp-backpack",https://www.lintcode.com/problem/125/,"jiuzhang, 算高DP下",
127,[lint] Topological Sorting,Medium,Low,,TopSorting,https://www.lintcode.com/problem/127/,"jiuzhang, 算初BFS",1
127,Word Ladder,Hard,Medium,,"BFS, Graph, gbfs_preChkVisited_wSz, search, string",https://leetcode.com/problems/word-ladder/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS, 算初DFS",1
128,Longest Consecutive Sequence,Medium,Medium,More Solution,"Hash, Union Find",https://leetcode.com/problems/longest-consecutive-sequence/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算初Hash&Heap",1
129,[lint] Rehashing,Medium,Pass,,Hash,https://www.lintcode.com/problem/rehashing,"jiuzhang, 算初Hash&Heap",1
130,[lint] Heapify,Medium,High,"Dig More, No Idea At First, toRevisit","Heap, PQ",https://www.lintcode.com/problem/130/,"jiuzhang, 算初Hash&Heap",1
130,Surrounded Regions,Medium,Low,More Solution,"BFS, DFS, Graph, Union Find, search",https://leetcode.com/problems/surrounded-regions/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高UnionFind&Trie",1
131,Palindrome Partitioning,Medium,Medium,More Solution,"BackTracking, Combination, DFS, DP",https://leetcode.com/problems/palindrome-partitioning/,"jiuzhang, 算初DFS, 算初DP",1
133,Clone Graph,Medium,Medium,Next Up,"BFS, DFS, Graph, Hash, gbfs_preChkVisited_woSz",https://leetcode.com/problems/clone-graph/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS",1
138,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,Low,,"Graph, Hash, LinkedList",https://leetcode.com/problems/copy-list-with-random-pointer/,"LC_Top_Interview_150, jiuzhang, 算初Hash&Heap, 算初LinkedList&Array",1
138,[lint] Subarray Sum,Easy,Low,,"Array, Contribution==, Hash, Prefix",https://www.lintcode.com/problem/138/,"jiuzhang, 算初Hash&Heap, 算初LinkedList&Array, 算高FollowUp",1
139,[lint] Subarray Sum Closest,Medium,High,No Idea At First,"Array, Contribution, OrderMap, Prefix, Sort",https://www.lintcode.com/problem/subarray-sum-closest,"jiuzhang, 算初LinkedList&Array",1
141,Linked List Cycle,Easy,Pass,,"2pt_SameDir_FastDoubleSpeed, Cycle, Hash, LinkedList",https://leetcode.com/problems/linked-list-cycle/,"HuaHua, LC_Top_Interview_150, jiuzhang, wisdompeak, 算初LinkedList&Array, 算高TwoPointers&PQ",1
142,Linked List Cycle II,Medium,Low,,"2pt_SameDir_FastDoubleSpeed, Cycle, LinkedList",https://leetcode.com/problems/linked-list-cycle-ii/,"jiuzhang, wisdompeak, 算初LinkedList&Array, 算高TwoPointers&PQ",1
143,Reorder List,Medium,Low,,"LinkedList, listMid, mergeList, reverseAll",https://leetcode.com/problems/reorder-list/,"jiuzhang, 算初LinkedList&Array",1
143,[lint] Sort Colors II,Medium,High,"No Idea At First, toRevisit","Sort, quickSort",https://www.lintcode.com/problem/143/,"jiuzhang, 算初TwoPointers",1
144,Binary Tree Preorder Traversal,Easy,Low,,"Iterate, Tree",https://leetcode.com/problems/binary-tree-preorder-traversal/,"HuaHua, jiuzhang, 算初Tree Divide&Conquer",1
144,[lint] Interleaving Positive and Negative Numbers,Medium,Low,,Partition,https://www.lintcode.com/problem/interleaving-positive-and-negative-numbers,"jiuzhang, 算初TwoPointers",1
145,Binary Tree Postorder Traversal,Easy,Low,,"Iterate, Tree",https://leetcode.com/problems/binary-tree-postorder-traversal/,"HuaHua, jiuzhang, 算初Tree Divide&Conquer",1
146,LRU Cache,Medium,Medium,Dig More,"Hash, LinkedList",https://leetcode.com/problems/lru-cache/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Hash&Heap",1
148,Sort List,Medium,Medium,,"Divide and Conquer, LinkedList, MergeSort",https://leetcode.com/problems/sort-list,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array",1
153,Find Minimum in Rotated Sorted Array,Medium,Medium,,"BS_Idx, Divide and Conquer",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BS",1
155,Min Stack,Medium,Pass,,stack,https://leetcode.com/problems/min-stack/,"LC_Top_Interview_150, jiuzhang, 算高Heap&Stack",1
156,Binary Tree Upside Down,Medium,High,"Dig More, More Solution","DFS, LinkedList, Tree, reverseAll, stack",https://leetcode.com/problems/binary-tree-upside-down/,googleFreq,
158,Read N Characters Given read4 II - Call Multiple Times,Hard,High,Dig More,simulation,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times/,googleFreq,
160,Intersection of Two Linked Lists,Easy,Medium,No Idea At First,LinkedList,https://leetcode.com/problems/intersection-of-two-linked-lists,"jiuzhang, 算初LinkedList&Array",1
161,One Edit Distance,Medium,Pass,,2pt_SameDir_diffSpeed,https://leetcode.com/problems/one-edit-distance/,googleFreq,
162,Find Peak Element,Medium,Low,,BS_Idx,https://leetcode.com/problems/find-peak-element/,"LC_75, LC_Top_Interview_150, jiuzhang, 算初BS, 算高BS&SwipeLine",1
163,Missing Ranges,Easy,Pass,,Interval,https://leetcode.com/problems/missing-ranges/,"googleFreq, leetcode_daily",
167,Two Sum II - Input Array Is Sorted,Medium,Pass,,2pt_DiffDir,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初TwoPointers",1
170,Two Sum III - Data structure design,Easy,Pass,More Solution,2pt_DiffDir,https://leetcode.com/problems/two-sum-iii-data-structure-design/,"jiuzhang, 算初TwoPointers",1
173,Binary Search Tree Iterator,Medium,Low,,"Iterate, Tree",https://leetcode.com/problems/binary-search-tree-iterator/,"LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer, 算高FollowUp",1
183,[lint] Wood Cut,Hard,Low,,BS_Val,https://www.lintcode.com/problem/183/,"jiuzhang, 算初BS, 算高BS&SwipeLine",1
188,Best Time to Buy and Sell Stock IV,Hard,High,"More Solution, No Idea At First","DP, Game, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,LC_Top_Interview_150,
198,House Robber,Medium,Pass,,"Array, DP, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/house-robber/,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP上",1
200,Number of Islands,Medium,Medium,,"BFS, Connected_Component, DFS, Graph, Matrix, Union Find, mbfs_preChkVisited_woSZ, search",https://leetcode.com/problems/number-of-islands,"AmazonFreq, HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS, 算高UnionFind&Trie",1
201,[lint] Segment Tree Build,Medium,Pass,,SegmentTree_idx,https://www.lintcode.com/problem/201/,"jiuzhang, 算高SegmentTree",1
202,[lint] Segment Tree Query,Medium,Pass,,SegmentTree_idx,https://www.lintcode.com/problem/segment-tree-query,"jiuzhang, 算高SegmentTree",1
203,[lint] Segment Tree Modify,Medium,Low,,SegmentTree_idx,https://www.lintcode.com/problem/203/,"jiuzhang, 算高SegmentTree",1
205,[lint] Interval Minimum Number,Medium,Low,More Solution,SegmentTree_idx,https://www.lintcode.com/problem/205/,"jiuzhang, 算高SegmentTree",1
205,Isomorphic Strings,Easy,Low,,"Hash, string",https://leetcode.com/problems/isomorphic-strings/,"LC_Top_Interview_150, googleFreq",
206,Reverse Linked List,Easy,Low,,"LinkedList, reverseAll",https://leetcode.com/problems/reverse-linked-list,"HuaHua, LC_75, jiuzhang, 算初LinkedList&Array",1
206,[lint] Interval Sum,Medium,Pass,,"Prefix, SegmentTree_idx",https://www.lintcode.com/problem/206/,"jiuzhang, 算高SegmentTree",1
206,[lint] Interval Sum,Medium,Pass,,Prefix,https://www.lintcode.com/problem/interval-sum/,googleFreq,
207,Course Schedule,Medium,Medium,,"Graph, TopSorting",https://leetcode.com/problems/course-schedule/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS",1
207,[lint] Interval Sum II,Hard,Low,,SegmentTree_idx,https://www.lintcode.com/problem/207/,"jiuzhang, 算高SegmentTree",1
208,Implement Trie (Prefix Tree),Medium,Medium,,"Design, Tree, Trie",https://leetcode.com/problems/implement-trie-prefix-tree/,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, 算高UnionFind&Trie",1
209,Minimum Size Subarray Sum,Medium,Low,More Solution,"2pt_SameDir_minWin_chkValidAftR, Sliding Window",https://leetcode.com/problems/minimum-size-subarray-sum/,"LC_Top_Interview_150, jiuzhang, ticktokFreq, wisdompeak, 算高TwoPointers&PQ",1
211,Design Add and Search Words Data Structure,Medium,High,Dig More,Trie,https://leetcode.com/problems/design-add-and-search-words-data-structure/,"LC_Top_Interview_150, jiuzhang, 算高UnionFind&Trie",1
212,Word Search II,Hard,High,HardToImplement,"BackTracking, DFS, Matrix, Trie, search",https://leetcode.com/problems/word-search-ii/,"LC_Top_Interview_150, jiuzhang, 算高UnionFind&Trie",1
213,House Robber II,Medium,Pass,,"Array, DP, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/house-robber-ii/,"HuaHua, jiuzhang, wp动归套路, 算高DP上",1
215,Kth Largest Element in an Array,Medium,Low,,"PQ, QuickSelect, kth",https://leetcode.com/problems/kth-largest-element-in-an-array,"LC_75, LC_Top_Interview_150, jiuzhang, leetcode_daily, 算初TwoPointers, 算高FollowUp",1
218,The Skyline Problem,Hard,High,,"Geometry, OrderMap, PQ, Sort, Sweep-Line, Tree",https://leetcode.com/problems/the-skyline-problem/description/,"HuaHua, jiuzhang, 算初Hash&Heap, 算高BS&SwipeLine",1
221,Maximal Square,Medium,Low,,"DP, Matrix",https://leetcode.com/problems/maximal-square/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高DP上",1
232,Implement Queue using Stacks,Easy,Pass,,stack,https://leetcode.com/problems/implement-queue-using-stacks/,"jiuzhang, 算高Heap&Stack",1
236,Lowest Common Ancestor of a Binary Tree,Medium,High,"Dig More, toRevisit","BinaryLifting, DFS, Divide and Conquer, Tree",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer",
237,Delete Node in a Linked List,Easy,Pass,,LinkedList,https://leetcode.com/problems/delete-node-in-a-linked-list/,"jiuzhang, 算初LinkedList&Array",1
239,Sliding Window Maximum,Hard,Medium,,"Sliding Window, deque, monotonic",https://leetcode.com/problems/sliding-window-maximum/,"jiuzhang, 算高BS&SwipeLine",1
242,[lint] Convert Binary Tree to Linked Lists by Depth,Easy,Pass,,"BFS, Tree",https://www.lintcode.com/problem/242/,"jiuzhang, 算初BFS",1
246,Strobogrammatic Number,Easy,Pass,,2pt_DiffDir,https://leetcode.com/problems/strobogrammatic-number/,googleFreq,
247,[lint] Segment Tree Query II,Medium,Low,,SegmentTree_idx,https://www.lintcode.com/problem/segment-tree-query-ii/,"jiuzhang, 算高SegmentTree",1
248,[lint] Count of Smaller Number,Medium,Medium,toRevisit,"BS_lower_upper_bound, SegmentTree_val, Sort",http://www.lintcode.com/en/problem/count-of-smaller-number,"jiuzhang, 算高SegmentTree",1
251,Flatten 2D Vector,Medium,Pass,,iterator,https://leetcode.com/problems/flatten-2d-vector/,"jiuzhang, 算高FollowUp",1
256,Paint House,Medium,Low,,"DP, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/paint-house/,wp动归套路,
257,Binary Tree Paths,Easy,Low,,"Divide and Conquer, Tree, toNull",https://leetcode.com/problems/binary-tree-paths/,"jiuzhang, 算初Tree Divide&Conquer",1
261,Graph Valid Tree,Medium,Medium,,"BFS, DFS, Graph, Union Find, gbfs_postChkVisited, gbfs_preChkVisited_woSz",https://leetcode.com/problems/graph-valid-tree/,"jiuzhang, 算初BFS, 算高UnionFind&Trie",1
264,Ugly Number II,Medium,High,"Dig More, No Idea At First","DP, Hash, Math, PQ, kth",https://leetcode.com/problems/ugly-number-ii/,"HuaHua, jiuzhang, 算初DP, 算初Hash&Heap",1
271,Encode and Decode Strings,Medium,Low,More Solution,,https://leetcode.com/problems/encode-and-decode-strings/,googleFreq,
277,Find the Celebrity,Medium,Medium,No Idea At First,"DP, Graph, Greedy",https://leetcode.com/problems/find-the-celebrity/,googleFreq,
278,First Bad Version,Easy,Pass,,BS_Idx,https://leetcode.com/problems/first-bad-version/,"jiuzhang, 算初BS, 算高BS&SwipeLine",1
280,Wiggle Sort,Medium,Pass,,"Greedy, Sort",https://leetcode.com/problems/wiggle-sort/,"jiuzhang, 算高FollowUp",1
283,Move Zeroes,Easy,High,,"2pt_SameDir_diffSpeed, Array, swap_put_keep_sequence",https://leetcode.com/problems/move-zeroes/,"HuaHua, LC_75, jiuzhang, wisdompeak, 算初TwoPointers",1
