#,Name,Difficult,Priority,Status,Tags,link,source,Last edited time,Created time,practicedTimes,related
17,Letter Combinations of a Phone Number,Medium,Low,,"BackTracking, search",https://leetcode.com/problems/letter-combinations-of-a-phone-number/,"HuaHua, LC_75, LC_Top_Interview_150, googleFreq, leetcode_daily","October 12, 2023 2:56 PM","October 23, 2022 11:02 AM",,
18,4Sum,Medium,Pass,,"2pt, 2pt_DiffDir",https://leetcode.com/problems/4sum/,"jiuzhang, wisdompeak, 算初TwoPointers","October 19, 2023 5:53 PM","August 6, 2022 11:59 PM",1,
19,Remove Nth Node From End of List,Medium,Pass,,"2pt_SameDir_sameSpeed, LinkedList",https://leetcode.com/problems/remove-nth-node-from-end-of-list/,"LC_Top_Interview_150, jiuzhang, 算高TwoPointers&PQ","October 22, 2023 2:03 PM","August 20, 2022 1:35 PM",1,
20,Valid Parentheses,Easy,Pass,,stack,https://leetcode.com/problems/valid-parentheses/,"LC_Top_Interview_150, googleFreq","November 3, 2023 7:15 PM","October 16, 2022 8:34 PM",1,
21,Merge Two Sorted Lists,Easy,Pass,,"LinkedList, mergeList",https://leetcode.com/problems/merge-two-sorted-lists,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array","October 16, 2023 4:58 PM","July 29, 2022 10:57 PM",1,
22,[lint] Flatten List,Easy,Pass,,stack,https://www.lintcode.com/problem/22/,"jiuzhang, 算高FollowUp","October 31, 2023 2:58 PM","September 25, 2022 4:33 PM",1,
23,Merge k Sorted Lists,Hard,Medium,,"Divide and Conquer, LinkedList, MergeSort, PQ",https://leetcode.com/problems/merge-k-sorted-lists/,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初Tree Divide&Conquer","November 17, 2023 1:26 AM","July 16, 2022 11:50 AM",1,
25,Reverse Nodes in k-Group,Hard,Low,,"LinkedList, reversePartial",https://leetcode.com/problems/reverse-nodes-in-k-group/,"LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array","October 17, 2023 6:36 PM","July 29, 2022 4:03 PM",1,
29,Divide Two Integers,Medium,Low,,"Bit Manipulation, Math",https://leetcode.com/problems/divide-two-integers/,"jiuzhang, 算初BS","October 12, 2023 2:56 PM","July 8, 2022 4:26 PM",,
31,[lint] Partition Array,Medium,Low,Dig More,"2pt_DiffDir, Partition",https://www.lintcode.com/problem/31/,"jiuzhang, 算初TwoPointers","October 19, 2023 9:30 PM","August 8, 2022 11:20 PM",1,
33,Search in Rotated Sorted Array,Medium,Low,,BS_Idx,https://leetcode.com/problems/search-in-rotated-sorted-array/,"HuaHua, LC_Top_Interview_150, jiuzhang, leetcode_daily, 算初BS","October 12, 2023 2:57 PM","July 8, 2022 12:32 PM",1,
38,[lint] Search a 2D Matrix II,Medium,Low,,BS_Idx,https://www.lintcode.com/problem/38/,"jiuzhang, 算初BS","October 12, 2023 2:57 PM","June 26, 2022 11:00 AM",1,
39,[lint] Recover Rotated Sorted Array,Easy,Low,,3 Step Rotate,https://www.lintcode.com/problem/recover-rotated-sorted-array,"jiuzhang, 算初BS, 算初TwoPointers","October 19, 2023 9:33 PM","July 8, 2022 4:26 PM",1,
39,Combination Sum,Medium,Low,,"BackTracking, Combination, search",https://leetcode.com/problems/combination-sum/,"LC_Top_Interview_150, jiuzhang, 算初DFS","October 16, 2023 4:49 PM","July 28, 2022 12:37 AM",1,
40,Combination Sum II,Medium,Low,,"BackTracking, Combination, search",https://leetcode.com/problems/combination-sum-ii/,"jiuzhang, 算初DFS","October 16, 2023 4:49 PM","July 28, 2022 12:37 AM",1,
42,Trapping Rain Water,Hard,Medium,,"2pt_DiffDir, Array, DP, Prefix, monotonic, stack",https://leetcode.com/problems/trapping-rain-water/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高Heap&Stack","October 28, 2023 12:56 PM","August 31, 2022 12:58 PM",1,Largest Rectangle in Histogram (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Largest%20Rectangle%20in%20Histogram%20ac2ea76b0a0645e1b28ad0283e4f7fee.csv)
45,Jump Game II,Medium,Medium,More Solution,"Array, DP, GoForth, Greedy, buildFutureResults",https://leetcode.com/problems/jump-game-ii,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初DP","November 17, 2023 1:28 AM","August 17, 2022 11:31 PM",1,
46,Permutations,Medium,Low,,"BackTracking, Permutation",https://leetcode.com/problems/permutations/,"LC_Top_Interview_150, jiuzhang, 算初DFS","October 16, 2023 4:51 PM","July 28, 2022 12:37 AM",1,
47,Permutations II,Medium,Low,,"BackTracking, Permutation",https://leetcode.com/problems/permutations-ii/,"jiuzhang, 算初DFS","October 16, 2023 4:51 PM","July 29, 2022 3:37 PM",1,
49,[lint] Sort Letters by Case,Medium,Pass,,Partition,https://www.lintcode.com/problem/49/,"jiuzhang, 算初TwoPointers","October 19, 2023 9:27 PM","August 9, 2022 11:18 AM",1,
49,Group Anagrams,Medium,Medium,,"Anagram, Hash",https://leetcode.com/problems/group-anagrams/,"LC_Top_Interview_150, jiuzhang, 算初Hash&Heap","October 21, 2023 1:02 PM","August 11, 2022 7:19 PM",1,
51,N-Queens,Hard,Low,,"BackTracking, Permutation, search",https://leetcode.com/problems/n-queens/,"HuaHua, jiuzhang, 算初DFS","October 16, 2023 4:55 PM","July 29, 2022 4:01 PM",1,
53,Maximum Subarray,Medium,Low,,"Array, Contribution>0, DP, Kadane, Prefix",https://leetcode.com/problems/maximum-subarray/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算初LinkedList&Array, 算高FollowUp","October 17, 2023 6:45 PM","August 3, 2022 1:37 PM",1,
55,Jump Game,Medium,Medium,More Solution,"Array, DP, GoForth, Greedy, buildFutureResults",https://leetcode.com/problems/jump-game/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP","October 21, 2023 11:56 PM","August 17, 2022 11:30 PM",1,
56,Merge Intervals,Medium,Pass,,"Array, Geometry, Interval, Sort",https://leetcode.com/problems/merge-intervals/,"AmazonFreq, HuaHua, LC_Top_Interview_150, googleFreq, ticktokFreq","November 17, 2023 1:30 AM","October 4, 2022 12:22 PM",1,Employee Free Time (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Employee%20Free%20Time%20ba5fc06f044341e7a68667cb6f414528.csv)
57,Insert Interval,Medium,High,"Dig More, toSummarize","Array, BS_lower_upper_bound, Geometry, Interval",https://leetcode.com/problems/insert-interval/,"HuaHua, LC_Top_Interview_150, googleFreq","October 12, 2023 2:56 PM","October 6, 2022 1:28 AM",,
61,[lint] Search for a Range,Medium,Pass,,BS_Idx,https://www.lintcode.com/problem/61/,"jiuzhang, 算初BS","October 12, 2023 2:57 PM","June 26, 2022 11:00 AM",1,
61,Rotate List,Medium,Low,,LinkedList,https://leetcode.com/problems/rotate-list/description/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array","October 17, 2023 6:17 PM","July 29, 2022 10:58 PM",1,
62,Unique Paths,Medium,Pass,,"DP, GoForth, Matrix",https://leetcode.com/problems/unique-paths,"HuaHua, LC_75, jiuzhang, 算初DP, 算高DP上","October 13, 2023 1:02 PM","August 17, 2022 11:25 PM",1,
64,Minimum Path Sum,Medium,Pass,,"DP, GoForth, Matrix",https://leetcode.com/problems/minimum-path-sum/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算高DP上","October 13, 2023 1:02 PM","August 17, 2022 10:22 PM",1,Dungeon Game (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Dungeon%20Game%205ff72ee6351c4f03921d486075ab9234.csv)
68,Text Justification,Hard,Medium,checkBetterSolution,string,https://leetcode.com/problems/text-justification/,LC_Top_Interview_150,"October 12, 2023 2:56 PM","September 15, 2022 11:22 PM",,
69,Sqrt(x),Easy,Low,,"BS_Idx, Math",https://leetcode.com/problems/sqrtx/,"LC_Top_Interview_150, jiuzhang, 算高BS&SwipeLine","October 28, 2023 10:00 PM","September 7, 2022 12:12 PM",1,
70,Climbing Stairs,Easy,Pass,,"Array, DP, GoForth",https://leetcode.com/problems/climbing-stairs,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算高DP上","October 13, 2023 1:02 PM","August 17, 2022 11:27 PM",1,
72,Edit Distance,Hard,High,,"DP, Matrix, StringMatchToMatrix, dp-TwoSeq, string",https://leetcode.com/problems/edit-distance/,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP上, 算高DP下","October 29, 2023 9:07 PM","September 10, 2022 10:10 AM",1,
74,Search a 2D Matrix,Medium,Low,,BS_Idx,https://leetcode.com/problems/search-a-2d-matrix/,"LC_Top_Interview_150, jiuzhang, 算初BS","October 12, 2023 2:57 PM","June 26, 2022 11:00 AM",1,
75,Sort Colors,Medium,High,No Idea At First,"2pt, 2pt_SameDir_diffSpeed, Sort, swap_put_keep_sequence",https://leetcode.com/problems/sort-colors/,"jiuzhang, wisdompeak, 算初TwoPointers","October 19, 2023 10:44 PM","August 9, 2022 1:45 PM",1,Move Zeroes (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Move%20Zeroes%20ce15b986e91b4e8aac98ac2ac93dc7b1.csv)
76,Minimum Window Substring,Hard,Medium,,"2pt_SameDir_minWin_chkValidAftR, Sliding Window",https://leetcode.com/problems/minimum-window-substring/,"LC_Top_Interview_150, jiuzhang, 算高TwoPointers&PQ","October 22, 2023 6:34 PM","August 20, 2022 1:35 PM",1,
78,Subsets,Medium,Low,More Solution,"BackTracking, BitMask, Combination, search",https://leetcode.com/problems/subsets,"HuaHua, jiuzhang, 算初DFS","October 16, 2023 4:47 PM","July 28, 2022 12:37 AM",1,
79,[lint] Longest Common Substring,Medium,Medium,,"DP, StringMatchToMatrix",https://www.lintcode.com/problem/longest-common-substring,"jiuzhang, 算高DP下","October 29, 2023 10:32 PM","September 15, 2022 8:10 PM",1,
80,[lint] Median,Easy,Medium,,"QuickSelect, kth",https://www.lintcode.com/problem/80/,"jiuzhang, 算初Tree Divide&Conquer","October 14, 2023 1:06 PM","July 16, 2022 11:50 AM",1,
84,Largest Rectangle in Histogram,Hard,High,,"monotonic, stack",https://leetcode.com/problems/largest-rectangle-in-histogram/,"jiuzhang, 算高Heap&Stack","October 28, 2023 1:36 PM","September 6, 2022 6:40 PM",1,"Trapping Rain Water (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Trapping%20Rain%20Water%20b68c807181944d70acaecbc2289e76e4.csv), Maximum Score of a Good Subarra (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Maximum%20Score%20of%20a%20Good%20Subarra%2091eca7c00d054e88b8b91206c322ff51.csv)"
85,[lint] Insert Node in a Binary Search Tree,Easy,Low,,"1Path, Tree",https://www.lintcode.com/problem/85/,"jiuzhang, 算初Tree Divide&Conquer","October 13, 2023 12:56 PM","July 15, 2022 12:07 AM",1,
85,Maximal Rectangle,Hard,High,More Solution,"DP, Matrix, monotonic, stack",https://leetcode.com/problems/maximal-rectangle/,"jiuzhang, 算高DP上, 算高Heap&Stack","October 28, 2023 1:37 PM","September 6, 2022 6:42 PM",1,
86,Partition List,Medium,Low,,LinkedList,https://leetcode.com/problems/partition-list/,"LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array","October 17, 2023 3:02 PM","July 29, 2022 4:03 PM",1,
87,Scramble String,Hard,Low,More Solution,"DFS, DP, string",https://leetcode.com/problems/scramble-string/,"HuaHua, jiuzhang, 算高DP下","October 12, 2023 2:56 PM","September 14, 2022 4:24 PM",,
88,Merge Sorted Array,Easy,Low,,"2pt, Array, Merge",https://leetcode.com/problems/merge-sorted-array/,"LC_Top_Interview_150, jiuzhang, wisdompeak, 算初LinkedList&Array","October 16, 2023 5:01 PM","August 3, 2022 1:17 PM",1,
89,[lint] k Sum,Hard,Medium,,"DP, dp-backpack",https://www.lintcode.com/problem/89/,"jiuzhang, 算高DP下","October 12, 2023 2:56 PM","September 17, 2022 12:18 AM",,
90,Subsets II,Medium,Low,,"BackTracking, Combination",https://leetcode.com/problems/subsets-ii/,"jiuzhang, 算初DFS","October 16, 2023 4:49 PM","July 28, 2022 12:37 AM",1,
91,[lint] Minimum Adjustment Cost,Medium,Low,,DP,https://www.lintcode.com/problem/minimum-adjustment-cost/,"jiuzhang, 算高DP下","October 12, 2023 2:56 PM","September 17, 2022 12:21 AM",,
91,Decode Ways,Medium,Low,,"Bottom_Up, DP",https://leetcode.com/problems/decode-ways/,"HuaHua, googleFreq","October 12, 2023 2:56 PM","October 10, 2022 9:02 PM",,
92,Reverse Linked List II,Medium,Low,,"LinkedList, reversePartial",https://leetcode.com/problems/reverse-linked-list-ii/,"LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array","October 17, 2023 6:36 PM","July 29, 2022 4:03 PM",1,
92,[lint] Backpack,Medium,Low,,"DP, dp-backpack",https://www.lintcode.com/problem/92/,"jiuzhang, 算高DP下","October 12, 2023 2:56 PM","September 16, 2022 11:39 PM",,
94,Binary Tree Inorder Traversal,Easy,Low,,"Iterate, Tree",https://leetcode.com/problems/binary-tree-inorder-traversal/,"HuaHua, jiuzhang, 算初Tree Divide&Conquer","October 12, 2023 3:41 PM","July 8, 2022 4:26 PM",1,
97,Interleaving String,Medium,Medium,More Solution,"DP, StringMatchToMatrix, TopSorting, dp-TwoSeq",https://leetcode.com/problems/interleaving-string/,"HuaHua, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP下","October 29, 2023 10:48 PM","September 15, 2022 9:25 PM",1,
98,Validate Binary Search Tree,Medium,Low,,"Iterate, Tree",https://leetcode.com/problems/validate-binary-search-tree/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer","October 13, 2023 12:48 PM","July 8, 2022 4:26 PM",1,
100,Same Tree,Easy,Pass,,Tree,https://leetcode.com/problems/same-tree,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer","October 12, 2023 2:57 PM","July 15, 2022 12:17 AM",1,
102,Binary Tree Level Order Traversal,Medium,Low,,"BFS, Tree, tbfs_preChkNull_wSz",https://leetcode.com/problems/binary-tree-level-order-traversal/,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初BFS, 算初Tree Divide&Conquer","November 17, 2023 1:27 AM","July 15, 2022 12:17 AM",1,
103,Binary Tree Zigzag Level Order Traversal,Medium,Pass,,"BFS, Tree",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,"LC_Top_Interview_150, jiuzhang, 算初BFS","October 13, 2023 1:01 PM","July 17, 2022 11:52 PM",1,
104,Maximum Depth of Binary Tree,Easy,Pass,,"DFS, Divide and Conquer, Tree, toNull",https://leetcode.com/problems/maximum-depth-of-binary-tree/,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer","October 12, 2023 2:57 PM","July 8, 2022 4:26 PM",1,
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,Low,,Tree,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,"LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer","October 13, 2023 12:44 PM","July 15, 2022 12:17 AM",1,
107,Binary Tree Level Order Traversal II,Medium,Pass,,"BFS, Tree",https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,"HuaHua, jiuzhang, 算初BFS","October 13, 2023 1:01 PM","July 17, 2022 11:52 PM",1,
109,Convert Sorted List to Binary Search Tree,Medium,Medium,,"Divide and Conquer, LinkedList, Tree",https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,"jiuzhang, 算初LinkedList&Array","October 19, 2023 3:51 PM","August 3, 2022 12:38 PM",1,
110,Balanced Binary Tree,Easy,Low,,"Divide and Conquer, Tree, toNull",https://leetcode.com/problems/balanced-binary-tree,"HuaHua, jiuzhang, 算初Tree Divide&Conquer","October 12, 2023 3:41 PM","July 8, 2022 4:26 PM",1,
111,Minimum Depth of Binary Tree,Easy,Low,,"Divide and Conquer, Tree, toLeaf",https://leetcode.com/problems/minimum-depth-of-binary-tree,"HuaHua, jiuzhang, 算初Tree Divide&Conquer","October 13, 2023 12:47 PM","July 8, 2022 4:26 PM",1,
114,Flatten Binary Tree to Linked List,Medium,High,,"Iterate, Tree, changeAffectIteration",https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,"LC_Top_Interview_150, jiuzhang, 算初Tree Divide&Conquer","October 14, 2023 10:26 PM","July 8, 2022 4:26 PM",1,
115,Distinct Subsequences,Hard,Medium,,"DP, StringMatchToMatrix, dp-TwoSeq",https://leetcode.com/problems/distinct-subsequences/,"HuaHua, jiuzhang, wp动归套路, 算高DP下","October 12, 2023 2:56 PM","September 15, 2022 8:57 PM",,
120,Triangle,Medium,High,,"BFS, Bottom_Up, DP, Triangle",https://leetcode.com/problems/triangle,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP","October 22, 2023 12:12 AM","August 16, 2022 12:06 PM",1,
121,[lint] Word Ladder II,Hard,Medium,Next Up,"BFS, DFS",https://www.lintcode.com/problem/121/,"jiuzhang, 算初DFS","October 16, 2023 4:58 PM","July 29, 2022 4:03 PM",1,
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,Pass,More Solution,"Array, Greedy, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,"HuaHua, LC_Top_Interview_150","October 12, 2023 2:56 PM","September 25, 2022 5:29 PM",,Best Time to Buy and Sell Stock with Cooldown (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Best%20Time%20to%20Buy%20and%20Sell%20Stock%20with%20Cooldown%206716c813adef4c9fbb1a26a5bef0a198.csv)
122,Best Time to Buy and Sell Stock II,Medium,Pass,,"Array, DP, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,"HuaHua, LC_Top_Interview_150","October 12, 2023 2:56 PM","September 25, 2022 5:35 PM",,
123,Best Time to Buy and Sell Stock III,Hard,Medium,,"DP, Game, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,"LC_Top_Interview_150, wp动归套路","October 12, 2023 2:56 PM","September 29, 2022 12:30 AM",,
124,Binary Tree Maximum Path Sum,Hard,Medium,,"Divide and Conquer, Tree",https://leetcode.com/problems/binary-tree-maximum-path-sum/,"HuaHua, LC_Top_Interview_150, jiuzhang, ticktokFreq, 算初Tree Divide&Conquer","November 17, 2023 1:27 AM","July 16, 2022 11:50 AM",1,"Diameter of Binary Tree (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Diameter%20of%20Binary%20Tree%20a3c0379b41174057a7e2a11333f8d905.csv), Diameter of Binary Tree (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Diameter%20of%20Binary%20Tree%20f378c6013a184759bf96c2149bbdfb93.csv)"
125,Valid Palindrome,Easy,Pass,,2pt_DiffDir,https://leetcode.com/problems/valid-palindrome/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初TwoPointers","October 19, 2023 5:53 PM","August 3, 2022 1:37 PM",1,
125,[lint] Backpack II,Medium,Low,,"DP, dp-backpack",https://www.lintcode.com/problem/125/,"jiuzhang, 算高DP下","October 12, 2023 2:56 PM","September 16, 2022 11:49 PM",,
127,[lint] Topological Sorting,Medium,Low,,TopSorting,https://www.lintcode.com/problem/127/,"jiuzhang, 算初BFS","October 16, 2023 1:02 AM","July 17, 2022 11:52 PM",1,
127,Word Ladder,Hard,Medium,,"BFS, Graph, gbfs_preChkVisited_wSz, search, string",https://leetcode.com/problems/word-ladder/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS, 算初DFS","October 16, 2023 3:52 PM","July 26, 2022 5:37 PM",1,
128,Longest Consecutive Sequence,Medium,Medium,More Solution,"Hash, Union Find",https://leetcode.com/problems/longest-consecutive-sequence/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算初Hash&Heap","October 21, 2023 1:21 PM","August 11, 2022 7:19 PM",1,
129,[lint] Rehashing,Medium,Pass,,Hash,https://www.lintcode.com/problem/rehashing,"jiuzhang, 算初Hash&Heap","October 21, 2023 9:50 PM","August 11, 2022 12:17 PM",1,
130,[lint] Heapify,Medium,High,"Dig More, No Idea At First, toRevisit","Heap, PQ",https://www.lintcode.com/problem/130/,"jiuzhang, 算初Hash&Heap","October 21, 2023 11:55 PM","August 11, 2022 7:19 PM",1,
130,Surrounded Regions,Medium,Low,More Solution,"BFS, DFS, Graph, Union Find, search",https://leetcode.com/problems/surrounded-regions/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高UnionFind&Trie","October 22, 2023 3:15 PM","August 27, 2022 9:49 PM",1,
131,Palindrome Partitioning,Medium,Medium,More Solution,"BackTracking, Combination, DFS, DP",https://leetcode.com/problems/palindrome-partitioning/,"jiuzhang, 算初DFS, 算初DP","October 16, 2023 4:56 PM","July 28, 2022 12:37 AM",1,
133,Clone Graph,Medium,Medium,Next Up,"BFS, DFS, Graph, Hash, gbfs_preChkVisited_woSz",https://leetcode.com/problems/clone-graph/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BFS","October 16, 2023 2:36 PM","July 17, 2022 11:52 PM",1,
138,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,Low,,"Graph, Hash, LinkedList",https://leetcode.com/problems/copy-list-with-random-pointer/,"LC_Top_Interview_150, jiuzhang, 算初Hash&Heap, 算初LinkedList&Array","October 16, 2023 5:02 PM","July 29, 2022 10:58 PM",1,
138,[lint] Subarray Sum,Easy,Low,,"Array, Contribution==, Hash, Prefix",https://www.lintcode.com/problem/138/,"jiuzhang, 算初Hash&Heap, 算初LinkedList&Array, 算高FollowUp","October 17, 2023 6:45 PM","August 3, 2022 1:37 PM",1,
139,[lint] Subarray Sum Closest,Medium,High,No Idea At First,"Array, Contribution, OrderMap, Prefix, Sort",https://www.lintcode.com/problem/subarray-sum-closest,"jiuzhang, 算初LinkedList&Array","October 19, 2023 5:52 PM","August 3, 2022 1:37 PM",1,
141,Linked List Cycle,Easy,Pass,,"2pt_SameDir_FastDoubleSpeed, Cycle, Hash, LinkedList",https://leetcode.com/problems/linked-list-cycle/,"HuaHua, LC_Top_Interview_150, jiuzhang, wisdompeak, 算初LinkedList&Array, 算高TwoPointers&PQ","October 13, 2023 1:04 PM","July 29, 2022 10:58 PM",1,
142,Linked List Cycle II,Medium,Low,,"2pt_SameDir_FastDoubleSpeed, Cycle, LinkedList",https://leetcode.com/problems/linked-list-cycle-ii/,"jiuzhang, wisdompeak, 算初LinkedList&Array, 算高TwoPointers&PQ","October 13, 2023 1:04 PM","August 1, 2022 5:35 PM",1,
143,Reorder List,Medium,Low,,"LinkedList, listMid, mergeList, reverseAll",https://leetcode.com/problems/reorder-list/,"jiuzhang, 算初LinkedList&Array","October 17, 2023 6:35 PM","July 29, 2022 10:58 PM",1,
143,[lint] Sort Colors II,Medium,High,"No Idea At First, toRevisit","Sort, quickSort",https://www.lintcode.com/problem/143/,"jiuzhang, 算初TwoPointers","October 19, 2023 11:36 PM","August 9, 2022 1:45 PM",1,
144,Binary Tree Preorder Traversal,Easy,Low,,"Iterate, Tree",https://leetcode.com/problems/binary-tree-preorder-traversal/,"HuaHua, jiuzhang, 算初Tree Divide&Conquer","October 12, 2023 3:41 PM","July 8, 2022 4:26 PM",1,
144,[lint] Interleaving Positive and Negative Numbers,Medium,Low,,Partition,https://www.lintcode.com/problem/interleaving-positive-and-negative-numbers,"jiuzhang, 算初TwoPointers","October 19, 2023 10:05 PM","August 9, 2022 11:31 AM",1,Rearrange Array Elements by Sign (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Rearrange%20Array%20Elements%20by%20Sign%2005343857e43440fdbb6a9787cfd5e49d.csv)
145,Binary Tree Postorder Traversal,Easy,Low,,"Iterate, Tree",https://leetcode.com/problems/binary-tree-postorder-traversal/,"HuaHua, jiuzhang, 算初Tree Divide&Conquer","October 12, 2023 3:41 PM","July 8, 2022 4:26 PM",1,
146,LRU Cache,Medium,Medium,Dig More,"Hash, LinkedList",https://leetcode.com/problems/lru-cache/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初Hash&Heap","October 21, 2023 1:08 PM","August 11, 2022 1:46 PM",1,
148,Sort List,Medium,Medium,,"Divide and Conquer, LinkedList, MergeSort",https://leetcode.com/problems/sort-list,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array","October 17, 2023 6:17 PM","August 2, 2022 10:45 PM",1,
153,Find Minimum in Rotated Sorted Array,Medium,Medium,,"BS_Idx, Divide and Conquer",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BS","October 12, 2023 2:57 PM","June 26, 2022 11:00 AM",1,Find Minimum in Rotated Sorted Array II (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Find%20Minimum%20in%20Rotated%20Sorted%20Array%20II%207d3fc5585d744ed6b420a83fa07fb508.csv)
155,Min Stack,Medium,Pass,,stack,https://leetcode.com/problems/min-stack/,"LC_Top_Interview_150, jiuzhang, 算高Heap&Stack","October 28, 2023 12:57 PM","September 1, 2022 11:22 PM",1,
